"Rank","Match Point","Status","Player Name - 1","Membership Number - 1"
"1","12","joining","Iclaf","0000453763"
"2","9","joining","Lorbag99","0000203688"
"3","9","joining","Matteviga","0000207592"
"4","9","joining","Dige","0000475097"
"5","6","joining","Blund","0000110798"
"6","6","joining","Naffy","0000455271"
"7","6","joining","Fidio","0000118859"
"8","6","joining","Mellow","0000166660"
"9","3","joining","Commo","0000134640"
"10","3","joining","Gallo","0000448187"
"11","3","joining","sArnautovic","0000127213"
"12","0","joining","Catta","0000561448"